Артикул;Ozon Product ID;SKU;Barcode;Контент-рейтинг;Бренд;Метки;Отзывы;Рейтинг;Категория;Тип;Объем товара, л;Объемный вес, кг;Доступно к продаже по схеме FBO, шт.;Зарезервировано, шт;Доступно к продаже по схеме FBS, шт.;Доступно к продаже по схеме realFBS, шт.;Зарезервировано на моих складах, шт;Текущая цена с учетом скидки, ₽;Цена до скидки (перечеркнутая цена), ₽;Цена Premium, ₽;Размер НДС, %
CCC_White_6006;11000967;526930117;7,05991E+12;'70;KZDOO;;5;'4.00;Чехлы;Чехол для смартфона;'0.36;'0.1;17;0;0;0;0;5124.0;11990.0;;0%
HHH_Blue_2524;15551074;288962461;1,32907E+12;'45;KZDOO;;37;'4.00;Чехлы;Чехол для смартфона;'0.36;'0.1;71;0;10;0;0;4700.0;11990.0;;0%
CCC_White_3332;67151078;113994878;RND247868972;'70;KZDOO;;47;'4.70;Чехлы;Чехол для смартфона;'1.47;'0.3;9;0;9;0;0;6180.0;11990.0;;0%
AAA_Red_8534;69371023;209796427;7,23079E+12;'70;KZDOO;;15;'4.70;Чехлы;Чехол для смартфона;'1.55;'0.3;1;0;9;0;0;6180.0;11990.0;;0%
BBB_Clear_1569;69561939;650375732;RND442615526;'70;KZDOO;;39;'4.70;Чехлы;Чехол для смартфона;'0.36;'0.1;4;0;10;0;1;6180.0;11990.0;;0%
DDD_Blue_8330;62243407;899158077;9,37553E+12;'70;KZDOO;;45;'4.70;Чехлы;Чехол для смартфона;'0.36;'0.1;7;0;10;0;0;6180.0;11990.0;;0%
GGG_Blue_5448;36496711;663549318;4,95082E+12;'70;KZDOO;;98;'4.70;Чехлы;Чехол для смартфона;'0.36;'0.1;6;0;10;0;0;6736.0;11990.0;;0%
DDD_Black_2968;74692955;345421083;RND389015070;'45;KZDOO;;48;'4.80;Чехлы;Чехол для смартфона;'0.36;'0.1;12;0;10;0;0;5124.0;11990.0;;0%
AAA_White_1376;66172445;325999536;RND123567902;'70;KZDOO;;4;'4.80;Чехлы;Чехол для смартфона;'0.36;'0.1;10;0;0;0;0;4700.0;11990.0;;0%
EEE_Purple_4956;58445728;999139556;RND861165291;'82.5;KZDOO;;39;'4.90;Чехлы;Чехол для смартфона;'0.36;'0.1;31;0;4;0;0;6180.0;11990.0;;0%
FFF_Blue_3894;45932023;527560520;5,20908E+12;'77.5;KZDOO;;107;'4.90;Чехлы;Чехол для смартфона;'0.36;'0.1;78;0;9;0;0;6180.0;11990.0;;0%
AAA_Purple_5605;94113201;694265456;1,09038E+12;'70;KZDOO;;3;'4.90;Чехлы;Чехол для смартфона;'0.36;'0.1;4;0;5;0;0;6180.0;11990.0;;0%
CCC_Black_9304;94803962;986448097;7,58036E+12;'70;KZDOO;;37;'4.90;Чехлы;Чехол для смартфона;'0.36;'0.1;3;0;5;0;1;6180.0;11990.0;;0%
BBB_Green_7079;16006909;128130845;RND590220817;'70;KZDOO;;46;'4.90;Чехлы;Чехол для смартфона;'0.36;'0.1;24;0;10;0;0;6180.0;11990.0;;0%
DDD_Titanium_5938;59240777;476860899;RND804327778;'77.5;REMAX;;29;'5.00;Защитные пленки и стекла;Защитное стекло;'0.17;'0.1;0;0;96;0;0;1220.0;4900.0;;0%
GGG_Green_4909;67131607;204246093;4,66577E+12;'75;REMAX;;12;'5.00;Защитные пленки и стекла;Защитное стекло;'0.17;'0.1;7;0;96;0;0;1180.0;4900.0;;0%
BBB_Clear_1809;12919215;787403428;RND879963549;'82.5;REMAX;;0;'0.00;Защитные пленки и стекла;Защитное стекло;'0.17;'0.1;14;0;20;0;0;1320.0;4900.0;;0%
BBB_Black_3529;85625096;922323984;RND634157970;'75;KZDOO;;300;'4.70;Чехлы;Чехол для смартфона;'0.36;'0.1;0;0;0;0;0;2900.0;11990.0;;0%
GGG_Purple_4253;34175452;432568708;RND950044743;'87.5;KZDOO;;358;'4.70;Чехлы;Чехол для смартфона;'0.36;'0.1;567;2;10;0;0;4400.0;11990.0;;0%
EEE_Red_3383;28866848;514530071;7,87696E+12;'70;KZDOO;;88;'4.70;Чехлы;Чехол для смартфона;'0.36;'0.1;22;0;10;0;0;2980.0;11990.0;;0%
BBB_Red_2345;43022400;390726845;RND620695675;'70;KZDOO;;32;'4.70;Чехлы;Чехол для смартфона;'0.36;'0.1;4;0;10;0;0;2980.0;11990.0;;0%
BBB_Green_3184;31817974;140258042;RND373281227;'80;KZDOO;;108;'4.70;Чехлы;Чехол для смартфона;'0.36;'0.1;0;0;0;0;0;1450.0;2090.0;;0%
GGG_Purple_9523;99926256;450230045;3,03817E+12;'87.5;KZDOO;;275;'4.70;Чехлы;Чехол для смартфона;'0.36;'0.1;456;1;10;0;0;4980.0;11990.0;;0%
AAA_Black_9470;37857061;380567032;3,27868E+12;'70;KZDOO;;44;'4.70;Чехлы;Чехол для смартфона;'1.52;'0.3;8;2;10;0;0;2900.0;11990.0;;0%
CCC_Black_1999;34800221;275591080;8,85709E+12;'70;REMAX;;0;'0.00;Защитные пленки и стекла;Защитное стекло;'0.17;'0.1;0;0;0;0;0;1120.0;4900.0;;0%
AAA_Red_1898;96648517;804484518;RND770381579;'77.5;REMAX;;0;'0.00;Защитные пленки и стекла;Защитное стекло;'0.17;'0.1;9;0;0;0;0;1120.0;4900.0;;0%
EEE_White_1885;27451798;346782303;2,96574E+12;'77.5;REMAX;;10;'5.00;Защитные пленки и стекла;Защитное стекло;'0.17;'0.1;0;0;101;0;0;1580.0;7900.0;;0%
AAA_Purple_7609;44373202;352803164;7,75844E+12;'77.5;REMAX;;8;'5.00;Защитные пленки и стекла;Защитное стекло;'0.17;'0.1;0;0;10;0;0;1580.0;7900.0;;0%
CCC_White_7349;75673901;714896419;4,19887E+12;'70;KEEPHONE;;50;'4.80;Чехлы;Чехол для смартфона;'0.41;'0.1;0;0;0;0;0;8990.0;8990.0;;0%
EEE_Black_5363;82137556;812495914;RND741658621;'70;KEEPHONE;;8;'4.90;Чехлы;Чехол для смартфона;'0.41;'0.1;5;0;4;0;0;5990.0;11990.0;;0%
AAA_Black_7840;56970638;924599955;9,32389E+12;'45;KEEPHONE;;3;'5.00;Чехлы;Чехол для смартфона;'0.41;'0.1;0;0;0;0;0;4780.0;11990.0;;0%
HHH_Green_5116;70540068;312582992;RND641237309;'45;KEEPHONE;;2;'5.00;Чехлы;Чехол для смартфона;'0.41;'0.1;1;0;2;0;0;4780.0;11990.0;;0%
HHH_Titanium_3383;62741760;960266028;9,21541E+12;'77.5;KEEPHONE;;71;'4.80;Чехлы;Чехол для смартфона;'0.41;'0.1;0;0;0;0;0;8990.0;8990.0;;0%
CCC_Green_5342;26669048;454292300;RND147213234;'77.5;KEEPHONE;;63;'4.90;Чехлы;Чехол для смартфона;'0.41;'0.1;0;0;0;0;0;11990.0;11990.0;;0%
BBB_Blue_8050;51813913;331952709;RND297036098;'52.5;KEEPHONE;;1;'0.00;Чехлы;Чехол для смартфона;'0.38;'0.1;0;0;0;0;0;2150.0;3490.0;;0%
GGG_Green_5825;85608104;458694311;4,09975E+12;'70;KEEPHONE;;6;'4.90;Чехлы;Чехол для смартфона;'0.41;'0.1;2;0;0;0;0;5990.0;11990.0;;0%
CCC_Purple_9600;83149727;646130655;RND238318448;'70;KEEPHONE;;17;'4.80;Чехлы;Чехол для смартфона;'0.41;'0.1;0;0;0;0;0;5990.0;8990.0;;0%
CCC_Blue_5038;72747359;713087470;6,58778E+12;'70;KEEPHONE;;6;'5.00;Чехлы;Чехол для смартфона;'0.38;'0.1;0;0;0;0;0;3450.0;5090.0;;0%
GGG_Pink_5778;46766529;280796757;RND993748558;'77.5;KEEPHONE;;48;'4.90;Чехлы;Чехол для смартфона;'0.38;'0.1;7;0;0;0;0;7000.0;11990.0;;0%
DDD_White_2968;80718283;719794414;RND329045730;'70;KEEPHONE;;15;'4.90;Чехлы;Чехол для смартфона;'0.38;'0.1;2;0;0;0;0;7980.0;11990.0;;0%
EEE_White_4091;64363579;551964498;RND306676115;'77.5;KEEPHONE;;10;'4.90;Чехлы;Чехол для смартфона;'0.38;'0.1;7;0;5;0;0;6780.0;11990.0;;0%
EEE_Red_4134;91561471;955168854;6,39693E+12;'77.5;KEEPHONE;;5;'0.00;Чехлы;Чехол для смартфона;'0.38;'0.1;9;0;0;0;0;7000.0;11990.0;;0%
DDD_Clear_8095;96447831;408575481;RND407164570;'52.5;KEEPHONE;;3;'0.00;Чехлы;Чехол для смартфона;'0.38;'0.1;11;0;0;0;0;6954.0;11990.0;;0%
EEE_White_7896;77364242;165743872;8,33488E+12;'77.5;KEEPHONE;;9;'0.00;Чехлы;Чехол для смартфона;'0.38;'0.1;5;0;0;0;0;7000.0;11990.0;;0%
EEE_Pink_8103;95054310;547918067;5,30622E+12;'77.5;KEEPHONE;;19;'4.90;Чехлы;Чехол для смартфона;'0.28;'0.1;10;0;5;0;0;5780.0;11990.0;;0%
BBB_Titanium_6217;52491122;289489432;RND475876715;'77.5;KEEPHONE;;14;'5.00;Чехлы;Чехол для смартфона;'0.28;'0.1;6;0;0;0;0;5980.0;11990.0;;0%
DDD_Purple_9858;62735299;919666574;RND309167835;'45;KEEPHONE;;0;'0.00;Чехлы;Чехол для смартфона;'0.28;'0.1;1;0;0;0;0;6980.0;11990.0;;0%
FFF_Red_4784;68162392;217920434;RND217928896;'45;KEEPHONE;;0;'0.00;Чехлы;Чехол для смартфона;'0.28;'0.1;1;0;0;0;0;6980.0;11990.0;;0%
DDD_Red_7490;10145273;158254639;7,45117E+12;'70;KEEPHONE;;0;'0.00;Чехлы;Чехол для смартфона;'0.28;'0.1;0;0;0;0;0;3490.0;5990.0;;0%
BBB_Blue_7291;43502425;382568290;RND817489947;'70;KZDOO;;20;'4.80;Чехлы;Чехол для смартфона;'0.36;'0.1;12;0;10;0;0;10006.0;11990.0;;0%
HHH_White_7443;54066848;733961183;RND115004658;'77.5;KZDOO;;23;'4.80;Чехлы;Чехол для смартфона;'0.36;'0.1;2;0;0;0;0;9180.0;11990.0;;0%
AAA_Red_6765;28757141;201908466;2,03679E+12;'70;KZDOO;;1;'4.80;Чехлы;Чехол для смартфона;'0.36;'0.1;7;0;10;0;0;9180.0;11990.0;;0%
CCC_Red_5645;91970108;914015344;7,59428E+12;'70;KZDOO;;15;'4.80;Чехлы;Чехол для смартфона;'0.36;'0.1;12;0;0;0;0;9180.0;11990.0;;0%
CCC_Blue_3895;66144867;688069275;1,95815E+12;'70;KZDOO;;8;'4.80;Чехлы;Чехол для смартфона;'0.36;'0.1;2;0;5;0;0;9180.0;11990.0;;0%
GGG_Purple_3146;56847236;105389406;8,35603E+12;'70;KZDOO;;3;'4.80;Чехлы;Чехол для смартфона;'0.36;'0.1;5;0;10;0;0;9180.0;11990.0;;0%
GGG_Purple_5348;47730210;804724099;6,76527E+12;'70;KZDOO;;10;'4.80;Чехлы;Чехол для смартфона;'0.36;'0.1;11;0;10;0;0;9180.0;11990.0;;0%
DDD_Red_3932;77440758;410318912;RND575550607;'70;KZDOO;;12;'4.50;Чехлы;Чехол для смартфона;'0.36;'0.1;2;0;0;0;0;9180.0;11990.0;;0%
HHH_Purple_7181;89551751;213693725;RND402071861;'70;KZDOO;;40;'4.50;Чехлы;Чехол для смартфона;'0.36;'0.1;2;0;8;0;0;9180.0;11990.0;;0%
HHH_White_5225;83601675;947325464;RND699395057;'70;KZDOO;;3;'4.50;Чехлы;Чехол для смартфона;'0.36;'0.1;0;0;0;0;0;9180.0;11990.0;;0%
FFF_Green_2714;10226963;879398594;3,21524E+12;'77.5;KZDOO;;26;'4.50;Чехлы;Чехол для смартфона;'0.36;'0.1;3;0;0;0;0;9180.0;11990.0;;0%
BBB_Green_8505;42624136;141175702;4,80997E+12;'70;KZDOO;;9;'4.50;Чехлы;Чехол для смартфона;'0.36;'0.1;1;0;0;0;0;9180.0;11990.0;;0%
EEE_Clear_5580;79852544;555511382;RND784573671;'70;KZDOO;;3;'4.50;Чехлы;Чехол для смартфона;'0.36;'0.1;2;0;0;0;0;9180.0;11990.0;;0%
GGG_Blue_7759;59197687;489733354;RND233841868;'70;KZDOO;;7;'4.50;Чехлы;Чехол для смартфона;'0.36;'0.1;1;0;0;0;0;9180.0;11990.0;;0%
BBB_Titanium_3592;14955118;878294921;3,08664E+12;'70;KEEPHONE;;5;'5.00;Чехлы;Чехол для смартфона;'0.38;'0.1;0;0;0;0;0;3450.0;5090.0;;0%
DDD_Black_8635;45437720;194620229;9,19093E+12;'40;KEEPHONE;;1;'0.00;Чехлы;Чехол для смартфона;'0.38;'0.1;0;0;0;0;0;2850.0;4790.0;;0%
CCC_Green_9087;31910726;645153332;1,83912E+12;'45;KEEPHONE;;1;'0.00;Чехлы;Чехол для смартфона;'0.38;'0.1;2;0;0;0;0;5700.0;11990.0;;0%
CCC_Clear_4480;17280340;606134442;7,01673E+12;'45;KEEPHONE;;0;'0.00;Чехлы;Чехол для смартфона;'0.38;'0.1;1;0;0;0;0;4300.0;11990.0;;0%
GGG_Clear_8444;58295345;872530310;1,95012E+12;'70;KZDOO;;3;'4.80;Чехлы;Чехол для смартфона;'0.36;'0.1;6;0;10;0;0;4700.0;11990.0;;0%
EEE_Titanium_6892;52760747;819775296;RND946712251;'70;KZDOO;;1;'4.00;Чехлы;Чехол для смартфона;'0.36;'0.1;3;0;0;0;0;4700.0;11990.0;;0%
CCC_Purple_4258;17346178;152735702;4,38961E+12;'77.5;KZDOO;;21;'4.70;Чехлы;Чехол для смартфона;'0.36;'0.1;4;0;10;0;0;2900.0;11990.0;;0%
DDD_White_9113;97300398;537656310;RND989838886;'77.5;KZDOO;;25;'4.70;Чехлы;Чехол для смартфона;'0.36;'0.1;0;0;0;0;0;2490.0;2990.0;;0%
CCC_Green_3365;94780184;445478973;RND639256006;'77.5;KZDOO;;18;'4.70;Чехлы;Чехол для смартфона;'0.36;'0.1;5;0;0;0;0;2900.0;11990.0;;0%
GGG_Black_5174;28610359;947961029;RND785755558;'77.5;KZDOO;;75;'4.70;Чехлы;Чехол для смартфона;'0.36;'0.1;30;0;9;0;0;3162.0;11990.0;;0%
CCC_Green_8847;93866155;753011591;3,72388E+12;'77.5;KZDOO;;36;'4.70;Чехлы;Чехол для смартфона;'0.36;'0.1;9;0;10;0;0;2980.0;11990.0;;0%
GGG_Titanium_4026;29195433;639057109;6,6698E+12;'77.5;KZDOO;;39;'4.70;Чехлы;Чехол для смартфона;'0.36;'0.1;7;0;10;0;0;2980.0;11990.0;;0%
EEE_Clear_3126;64493994;479415407;5,33574E+12;'77.5;KZDOO;;10;'4.70;Чехлы;Чехол для смартфона;'0.36;'0.1;7;0;10;0;0;2980.0;11990.0;;0%
