Артикул;Ozon Product ID;SKU;Barcode;Название товара;Контент-рейтинг;Бренд;Статус товара;Метки;Отзывы;Рейтинг;Видимость на Ozon;Причины скрытия;Дата создания;Категория;Тип;Объем товара, л;Объемный вес, кг;Доступно к продаже по схеме FBO, шт.;Зарезервировано, шт;Доступно к продаже по схеме FBS, шт.;Доступно к продаже по схеме realFBS, шт.;Зарезервировано на моих складах, шт;Текущая цена с учетом скидки, ₽;Цена до скидки (перечеркнутая цена), ₽;Цена Premium, ₽;Размер НДС, %
Cover_Clear_1651;15927945;345261175;9979625162386;Кожаный чехол для Samsung Galaxy S24 KZDOO Noble Collection, черный чехол для Самсунг Галкси S24;'70;KZDOO;Продается;;22;'4.70;Показывается;;05.07.2024 12:54;Чехлы;Чехол для смартфона;'1.47;'0.3;10;0;10;0;0;5980.0;11990.0;;0%
Protector_Black_3047;15425404;111532841;1215038791038;Кожаный чехол для Samsung Galaxy S24 KZDOO Noble Collection, титанового цвета чехол для Самсунг Галкси S24;'70;KZDOO;Продается;;13;'4.70;Показывается;;05.07.2024 12:54;Чехлы;Чехол для смартфона;'0.36;'0.1;5;0;10;0;0;5980.0;11990.0;;0%
Case_Green_8844;22525559;883260664;2030698131569;Кожаный чехол для Samsung Galaxy S24 KZDOO Noble Collection, розовый чехол для Самсунг Галкси S24;'70;KZDOO;Продается;;0;'4.70;Показывается;;05.07.2024 12:54;Чехлы;Чехол для смартфона;'0.36;'0.1;0;0;10;0;0;5980.0;11990.0;;0%
Glass_Titanium_4151;43471454;201386322;RND674758450;Кожаный чехол для Samsung Galaxy S24 KZDOO Noble Collection, синий чехол для Самсунг Галкси S24;'70;KZDOO;Продается;;6;'4.70;Показывается;;05.07.2024 12:54;Чехлы;Чехол для смартфона;'0.36;'0.1;1;0;10;0;0;5980.0;11990.0;;0%
Adapter_Green_3215;69938385;832878387;RND854003193;Кожаный чехол для Samsung Galaxy S24 KZDOO Noble Collection, красный чехол для Самсунг Галкси S24;'70;KZDOO;Продается;;5;'4.70;Показывается;;05.07.2024 12:54;Чехлы;Чехол для смартфона;'0.36;'0.1;18;0;10;0;0;5980.0;11990.0;;0%
Accessory_Purple_5547;90126474;551901563;7132670840956;Кожаный чехол для Samsung Galaxy S24 KZDOO Noble Collection, белый чехол для Самсунг Галкси S24;'70;KZDOO;Продается;;7;'4.70;Показывается;;05.07.2024 12:54;Чехлы;Чехол для смартфона;'0.36;'0.1;3;0;0;0;0;5980.0;11990.0;;0%
Case_Green_5235;85083690;345761978;3604656497189;Кожаный чехол для Samsung Galaxy S24 KZDOO Noble Collection, зеленый чехол для Самсунг Галкси S24;'70;KZDOO;Продается;;7;'4.70;Показывается;;05.07.2024 12:54;Чехлы;Чехол для смартфона;'0.36;'0.1;13;0;0;0;0;5980.0;11990.0;;0%
Protector_Purple_1386;18407892;293153709;6601447172111;Чехол для Samsung Galaxy S24 KZDOO KEIVLAR, кевларовый чехол титанового цвета для Самсунг Галакси S24;'45;KZDOO;Продается;;0;'0.00;Показывается;;05.07.2024 13:07;Чехлы;Чехол для смартфона;'0.36;'0.1;5;0;0;0;0;6638.0;11990.0;;0%
Case_Purple_4314;46333255;985678029;3519129507559;Чехол для Samsung Galaxy S24 KZDOO KEIVLAR, черный кевларовый чехол для Самсунг Галакси S24;'45;KZDOO;Продается;;0;'0.00;Показывается;;05.07.2024 13:33;Чехлы;Чехол для смартфона;'0.36;'0.1;5;0;0;0;0;6090.0;11990.0;;0%
Case_Purple_9663;22804505;119778610;RND374000219;Чехол для Samsung Galaxy S24 KZDOO iCoat, черный чехол для Самсунг S24;'70;KZDOO;Продается;;0;'5.00;Показывается;;05.07.2024 13:44;Чехлы;Чехол для смартфона;'0.36;'0.1;10;0;0;0;0;5648.0;11990.0;;0%
Adapter_Titanium_4719;82912035;187132289;8728161847330;Чехол для Samsung Galaxy S24 KZDOO iCoat, темно-синий чехол для Самсунг S24;'70;KZDOO;Продается;;1;'5.00;Показывается;;05.07.2024 13:44;Чехлы;Чехол для смартфона;'0.36;'0.1;2;0;0;0;0;5180.0;11990.0;;0%
Glass_White_5842;56086239;633650560;RND177144317;Чехол для Samsung Galaxy S24 KZDOO iCoat, фиолетовый чехол для Самсунг S24;'70;KZDOO;Продается;;2;'5.00;Показывается;;05.07.2024 13:44;Чехлы;Чехол для смартфона;'0.36;'0.1;2;0;0;0;0;5648.0;11990.0;;0%
Adapter_Black_6675;20065997;175296930;RND287859545;Чехол для Samsung Galaxy S24 KZDOO iCoat, розовый чехол для Самсунг S24;'45;KZDOO;Продается;;3;'5.00;Показывается;;05.07.2024 13:44;Чехлы;Чехол для смартфона;'0.36;'0.1;4;0;0;0;0;5648.0;11990.0;;0%
Accessory_Titanium_4442;39229731;526961683;RND398957109;Чехол для Samsung Galaxy S24 KZDOO iCoat, зеленый чехол для Самсунг S24;'70;KZDOO;Продается;;3;'5.00;Показывается;;05.07.2024 13:44;Чехлы;Чехол для смартфона;'0.36;'0.1;4;1;0;0;0;5180.0;11990.0;;0%
Case_Titanium_1136;88475420;531485366;RND191791886;Чехол для Samsung Galaxy S24+ ультратонкий KZDOO Air Carbon с защитой камер, синий супертонкий чехол для Самсунг Галакси S24 Плюс (S24 Plus);'70;KZDOO;Продается;;11;'4.70;Показывается;;05.07.2024 13:52;Чехлы;Чехол для смартфона;'0.36;'0.1;3;0;0;0;0;3180.0;11990.0;;0%
Case_White_2690;67871873;820352939;2385998479655;Чехол для Samsung Galaxy S24+ ультратонкий KZDOO Air Carbon с защитой камер, титанового цвета супертонкий чехол для Самсунг Галакси S24 Плюс (S24 Plus);'70;KZDOO;Продается;;10;'4.70;Показывается;;05.07.2024 13:55;Чехлы;Чехол для смартфона;'0.36;'0.1;4;0;0;0;0;3180.0;11990.0;;0%
Accessory_Pink_7556;37685101;861957797;6530995375047;Чехол для Samsung Galaxy S24+ ультратонкий KZDOO Air Carbon с защитой камер, зеленый супертонкий чехол для Самсунг Галакси S24 Плюс (S24 Plus);'70;KZDOO;Продается;;16;'4.70;Показывается;;05.07.2024 13:56;Чехлы;Чехол для смартфона;'0.36;'0.1;3;0;10;0;0;3100.0;11990.0;;0%
Cable_Black_1133;91351857;541755638;5412256016114;Чехол для Samsung Galaxy S24+ ультратонкий KZDOO Air Carbon с защитой камер, фиолетовый супертонкий чехол для Самсунг Галакси S24 Плюс (S24 Plus);'70;KZDOO;Продается;;28;'4.70;Показывается;;05.07.2024 14:00;Чехлы;Чехол для смартфона;'0.36;'0.1;4;0;10;0;0;3100.0;11990.0;;0%
